"Future","Venue","Location","Co-organizers","Month","Year"
"X","<https://www.ipam.ucla.edu/programs/special-events-and-conferences/collaborative-workshop-for-women-in-mathematical-biology-2/>Collaborative Workshop for Women in Mathematical Biology","IPAM ","Blair Sullivan ","06","2019"
"","<https://www.ams.org/meetings/sectional/2246_program_ss20.html#title>Mathematics of biomolecules: Discrete, algebraic, and topological (Parts I, II, &amp; III)","AMS Southeastern Sectional Meeting Special Session","Natasha Jonoska","09","2017"
"","<http://meetings.siam.org/sess/dsp_programsess.cfm?SESSIONCODE=62650>Discrete methods in molecular biology (Parts I &amp; II)","SIAM Annual Meeting Minisymposium","---","07","2017"
"","<https://canadam.math.ca/2017/program/contributed_minisymposia>Discrete mathematical biology (Parts I &amp; II)","CanaDAM Minisymposium","Torin Greenwood","06","2017"
"","<http://meetings.siam.org/sess/dsp_programsess.cfm?SESSIONCODE=23202>Discrete mathematical biology (Parts I &amp; II)","SIAM Discrete Mathematics Minisymposium","Heather C. Smith","06","2016"
"","<http://www.ams.org/meetings/sectional/2237_program_ss26.html#title>Bioinformatics and molecular biology: Dynamic models, structural analysis, and computational methods (Parts I &amp; II)","AMS Southeastern Sectional Meeting Special Session","Chi-Jen Wang, Haomin Zhou","03","2016"
"","<https://mbi.osu.edu/event/?id=823>Geometric and topological modeling of biomolecules","MBI Emphasis Program Workshop","Karin Musier-Forsyth, Reidun Twarock, Alexander Vologodskii","09","2015"
"","<http://www.ams.org/programs/research-communities/mrc-14>Algebraic and Geometric Methods in Applied Discrete Mathematics","AMS Mathematics Research Community","Carina Curto, Jesus A. De Loera, Michael Orrison, Francis Edward Su","06","2014"
"","<https://www.ima.umn.edu/2013-2014/W12.9-13.13>Topological Structures in Computational Biology","IMA Annual Program Year Workshop","Gunnar Carlsson, Susan Holmes, Konstantin Mischaikow","12","2013"
"","<http://meetings.siam.org/sess/dsp_programsess.cfm?SESSIONCODE=14593>Discrete mathematical biology (Parts I &amp; II)","SIAM Discrete Mathematics Minisymposium ","Svetlana Poznanovikj","06","2012"
"",">https://www.samsi.info/news-and-media/2008-09-program-on-algebraic-methods-in-systems-biology-and-statistics-final-report/>Algebraic Methods in Systems Biology and Statistics","SAMSI 2008-2009 Program","11 member organizing committee chaired by Reinhard Laubenbacher","09","2008"
