"Link","Title","Venue","Year","Month"
"https://math.illinois.edu/alumni/heitsch","Mathematics Alumni Award for Outstanding Professional Achievement","UIUC","2019","04"
"https://math.gatech.edu/news/christine-heitsch-receives-2019-cos-faculty-mentor-award","CoS Faculty Mentor Award","Georgia Tech","2019","09"
"https://math.illinois.edu/mathematics-alumni-award-recipients","Mathematics Alumni Award Recipients","UIUC","2019","04"
"https://cos.gatech.edu/news/mathilda-avirett-mackenzie-bs-physics-bs-mathematics","Mathilda Avirett-Mackenzie: B.S. in Physics, B.S. in Mathematics","Georgia Tech","2019","05"
"https://scmb.gatech.edu/news/dr-christine-heitsch-receives-petit-institute-above-and-beyond-award","Petit Institute 'Above and Beyond' Award","Georgia Tech","2018","12"
"https://rh.gatech.edu/features/new-frontiers-beckon-math-and-biology-multimillion-dollar-nsf-simons-project","New Frontiers Beckon Math and Biology in Multimillion Dollar NSF-Simons Project","Georgia Tech","2018",""
"https://mems.duke.edu/about/news/mathematics-bioscience-partnership-explore-cellular-transport","Mathematics-Bioscience Partnership to Explore Cellular Transport","Duke","2018",""
"https://www.cos.gatech.edu/hg/item/605333","Libby Taylor: B.S. in Mathematics","Georgia Tech","2018",""
"https://www.ams.org/publications/journals/notices/201708/rnoti-p816.pdf","AMS Fall Sectional Sampler: Strings, Trees, and RNA Folding","Notices of the AMS","2017",""
"https://sinews.siam.org/Details-Page/a-combinatorial-approach-to-predict-rna-structure","A Combinatorial Approach to Predict RNA Structure","SIAM News","2017",""
"http://cos.gatech.edu/hg/item/590809","Meet 2017 Spring Graduate Chi Huynh","Georgia Tech","2017",""
"http://cos.gatech.edu/hg/item/530431","Get to Know the School of Math Prof","Georgia Tech","2016",""
"https://www.cos.gatech.edu/hg/item/565081","School of Mathematics Celebrates Summer of Interdisciplinary Undergraduate Research","Georgia Tech","2016",""
"https://math.gatech.edu/news/cos-mentoring-award-christine-heitsch-and-brett-wick","CoS Mentoring Award","Georgia Tech ","2014",""
"http://www.math.gatech.edu/hg/item/589187","National Science Foundation Awards Graduate Research Fellowships","Georgia Tech","2013",""
"http://www.news.gatech.edu/2012/04/20/students-honored-annual-luncheon","Students Honored at Annual Luncheon (Martin Copenhaver)","Georgia Tech","2012",""
"http://www.math.gatech.edu/hg/item/589529","2012 Undergraduate Research Opportunities in Computing Research Symposium","Georgia Tech","2012",""
"http://biosciences.gatech.edu/bringing-structure-bear-rna-viruses-school-biology-scientists-provide-new-insight-viral-packing","Bringing Structure to Bear on RNA Viruses: School of Biology Scientists Provide New Insight on Viral Packing","Georgia Tech","2012",""
"https://www.cc.gatech.edu/computational-nanogami-rna-sequence-search-stretches-across-georgia-tech-boundaries","Computational Nanogami: RNA Sequence Search Stretches Across Georgia Tech Boundaries","Georgia Tech","2011",""
"https://math.illinois.edu/academics/undergraduate-program/honors-awards-scholarships-and-competitions/h-roy-brahana-prize","H. Roy Brahana Prize","UIUC","1994",""
