"Future","Venue","Location","Month","Year","Plenary"
"X","<https://meetings.siam.org/sess/dsp_programsess.cfm?SESSIONCODE=68386>Cancelled: Algebra, Combinatorics, and Topology in Biological Structures","SIAM LS Minisymposium","06","2020",""
"X","<https://www.telluridescience.org/meetings/workshop-details?wid=812>Postponed to 2022: Challenges in RNA Structural Modeling and Design","TSRC Workshop","06 ","2020",""
"X;","<https://www.usf.edu/arts-sciences/conferences/dtmb2020/index.aspx>Cancelled: Discrete and Topological Models in Molecular Biology","SCMB Workshop at USF ","05","2020",""
"X","<https://www.simonsfoundation.org/event/2020-conference-on-theory-biology/>Cancelled: 2020 Conference on Theory &amp; Biology","Simons Foundation","04","2020",""
"","<<https://cms.math.ca/Events/winter19/abs/cde#ch>Chord diagrams everywhere","CMS Winter Mtg Session","12","2019",""
"","<<https://www.quantitativebiology.northwestern.edu/conference/2019conference/>Conference on Quantitative Approaches in Biology","Northwestern","10","2019","X"
"","<https://cbms.ua.edu/>Mathematical Molecular Bioscience and Biophysics","NSF-CBMS Conference UA Tuscaloosa","05","2019",""
"","<https://tdai.osu.edu/tripods-workshop/>Structure in the Micro-World","TGDA@OSU TRIPODS Center Workshop","05","2019",""
"","<https://www.simonsfoundation.org/event/2019-conference-on-theory-biology/>Conference on Theory &amp; Biology","Simons Foundation","04","2019",""
"","<http://bioinformatics.ucsd.edu/node/101>Colloquium","UCSD Genetics, Bioinformatics and Systems Biology","04","2019",""
"","<http://www.ams.org/meetings/sectional/2261_program_ss21.html#title>Algebraic and discrete methods in mathematical biolog","AMS SE Sec Mgt Special Session","03","2019",""
"","<http://jointmathematicsmeetings.org/meetings/national/jmm2019/2217_program_saturday.html>WinCompTop: Applied and computational topology","JMM AWM Workshop","01","2019",""
"","<https://people.clas.ufl.edu/boyland/colloquium-fall-2018/>Colloquium ","U Florida Mathematics","12","2018",""
"","<https://www.dagstuhl.de/en/program/calendar/semhp/?semnr=18451>Genomics, pattern avoidance, and statistical mechanics","Dagstuhl Seminar","11","2018",""
"","<http://ccsb.vanderbilt.edu/QSBCenter/>Colloquium","Vanderbilt Quantitative Systems Biology Center","10","2018",""
